EMP_ID,LBR_WORK_DATE,LBR_CHRG_NO,ACTU_START_TS,ACTU_END_TS,SHIFT_CD,ELAPS_ACTY_TIME,QTY_CMPLTD,WO_OPR_NO,WC_POOL,WC_STN,ITEM_NO,LBR_STD_TIME,EARNED_HRS,PERF_PCT
119915,6/8/2024,BQ5853,53:03.0,59:00.0,3,0.05,40,20,88,J16W,18-44737-002             ,1,0.67,1340
119915,6/11/2024,BQ5853,40:00.0,28:00.0,3,4.61,10,20,88,J16W,18-44737-002             ,1,0.17,3.69
119915,6/11/2024,BQ5853,21:00.0,00:00.0,3,1.83,10,20,88,J16W,18-44737-002             ,1,0.17,9.29
119915,6/11/2024,BQ5853,31:00.0,15:00.0,3,0.37,10,20,88,J16W,18-44737-002             ,1,0.17,45.95
119915,6/11/2024,BQ5853,51:00.0,29:00.0,3,0.32,148,20,88,J16W,18-44737-002             ,1,2.47,771.88
119915,6/11/2024,BQ5853,28:00.0,30:00.0,3,3.11,10,20,88,J16W,18-44737-002             ,1,0.17,5.47
119915,6/12/2024,BQ5853,20:00.0,00:00.0,3,2.67,102,20,88,J16W,18-44737-002             ,1,1.7,63.67
119915,6/14/2024,BQ5853,30:00.0,05:00.0,3,1.58,72,20,88,J16W,18-44737-002             ,1,1.2,75.95
119915,6/18/2024,BQ5853,59:00.0,14:00.0,3,3.25,116,20,88,J16W,18-44737-002             ,1,1.93,59.38
119915,6/20/2024,BQ5853,00:00.0,09:00.0,3,1.15,80,20,88,J16W,18-44737-002             ,1,1.33,115.65
119915,6/28/2024,XD7490,16:00.0,10:00.0,3,4.65,58,10,88,J16W,18-67273-111             ,5,4.83,103.87
119915,6/29/2024,XD7493,45:00.0,45:00.0,3,3.67,36,10,88,J16W,18-67273-203             ,5,3,81.74
119915,7/8/2024,XD7485,06:00.0,38:00.0,3,4.95,57,10,88,J16W,18-67273-102             ,5,4.75,95.96
119915,7/8/2024,XD7485,56:00.0,10:00.0,3,1.23,19,10,88,J16W,18-67273-102             ,5,1.58,128.46
119915,10/12/2024,XF1677,33:53.0,15:10.0,2,5.7,46,10,88,J16W,F18-68687-006            ,5,3.83,67.19
119915,10/17/2024,XF0396,41:00.0,06:53.0,2,2.42,26,10,88,J16W,18-72771-012             ,5,2.17,89.67
119915,10/17/2024,XF0396,32:52.0,06:41.0,2,0.57,6,10,88,J16W,18-72771-012             ,5,0.5,87.72
119915,11/22/2024,XF7854,00:00.0,20:10.0,2,6.75,70,10,88,J16W,18-72771-012             ,5,5.83,86.37
119915,11/23/2024,XF7854,12:00.0,14:39.0,2,4.7,55,10,88,J16W,18-72771-012             ,5,4.58,97.45
119915,12/22/2024,XH1065,33:53.0,30:00.0,2,5.95,0,10,88,J16W,18-72771-011             ,5,0,0
119915,1/21/2025,BT0689,40:00.0,18:24.0,2,7.05,114,10,88,J16W,18-64537-006             ,5.38,10.22,144.96
119915,1/22/2025,BT0689,40:00.0,04:00.0,2,1.4,0,10,88,J16W,18-64537-006             ,5.38,0,0
119915,1/22/2025,BT0689,57:44.0,29:50.0,2,5.2,120,10,88,J16W,18-64537-006             ,5.38,10.76,206.92
119915,1/28/2025,XF7178,20:00.0,00:00.0,2,3.42,60,10,88,J16W,18-64537-002             ,4.4,4.4,128.65
119915,2/3/2025,XG3328,20:00.0,20:00.0,2,4.67,76,10,88,J16W,18-64537-002             ,4.4,5.57,119.27
119915,2/4/2025,BT1742,19:09.0,17:17.0,2,6.39,120,10,88,J16W,18-64537-006             ,5.38,10.76,168.39
119915,2/5/2025,BT1742,40:00.0,37:24.0,2,2.7,37,10,88,J16W,18-64537-006             ,5.38,3.32,122.96
119915,2/18/2025,XH2550,40:00.0,30:22.0,2,5.25,58,10,88,J16W,18-72771-011             ,5,4.83,92
119915,2/18/2025,XH6426,08:53.0,09:06.0,2,0.01,1,10,88,J16W,18-72771-012             ,5,0.08,800
119915,2/19/2025,XH6426,40:00.0,10:00.0,2,3.92,31,10,88,J16W,18-72771-012             ,5,2.58,65.82
119915,2/26/2025,XH6427,40:00.0,45:23.0,2,1.42,1,10,88,J16W,18-72771-013             ,5,0.08,5.63
119915,2/26/2025,XH6427,30:00.0,30:00.0,2,4.42,64,10,88,J16W,18-72771-013             ,5,5.33,120.59
119915,3/6/2025,BT2599,45:00.0,20:00.0,2,3.25,62,10,88,J16W,18-64537-006             ,5.38,5.56,171.08
119915,3/7/2025,BT2599,40:00.0,12:00.0,2,0.53,6,10,88,J16W,18-64537-006             ,5.38,0.54,101.89
119915,3/9/2025,BT2599,36:56.0,47:00.0,2,0.18,0,10,88,J16W,18-64537-006             ,5.38,0,0
119978,1/22/2024,X94614,18:00.0,30:00.0,1,3.87,64,30,88,J16W,04-35196-103             ,2,2.13,55.04
119978,2/20/2024,BP7404,20:00.0,15:00.0,1,1.46,40,20,88,J16W,18-44737-001             ,2.59,1.73,118.49
119978,2/20/2024,X84812,45:00.0,20:00.0,1,2.58,20,30,88,J16W,18-44668-004             ,5.5,1.83,70.93
119978,2/20/2024,X97089,20:00.0,15:00.0,1,1.46,40,10,88,J16W,18-44737-002             ,0.5,0.33,22.6
119978,3/3/2024,BP9739,30:00.0,20:00.0,1,2.25,38,20,88,J16W,18-44737-001             ,2.59,1.64,72.89
119978,3/3/2024,XA1422,30:00.0,20:00.0,1,2.25,38,10,88,J16W,18-44737-002             ,0.5,0.32,14.22
119978,3/12/2024,XA8695,16:00.0,00:00.0,1,1.73,55,20,88,J16W,04-35196-103             ,2,1.83,105.78
119978,3/12/2024,XA8695,00:00.0,30:00.0,1,4.67,19,20,88,J16W,04-35196-103             ,2,0.63,13.49
119978,3/14/2024,BP9739,30:00.0,20:00.0,1,1.42,34,20,88,J16W,18-44737-001             ,2.59,1.47,103.52
119978,3/14/2024,XA1422,30:00.0,20:00.0,1,1.42,34,10,88,J16W,18-44737-002             ,0.5,0.28,19.72
119978,11/22/2024,XF0057,10:00.0,00:00.0,3,2.5,150,10,88,J16W,A18-66872-003            ,1,2.5,100
119978,12/2/2024,BS6443,10:00.0,20:00.0,3,6.58,83,10,88,J16W,18-64537-006             ,5.38,7.44,113.07
119978,1/22/2025,XG7249,30:00.0,28:23.0,3,0.97,65,30,88,J16W,18-74430-000             ,1,1.08,111.34
119978,1/23/2025,BT0689,18:53.0,05:33.0,3,2.45,26,10,88,J16W,18-64537-006             ,5.38,2.33,95.1
119978,1/24/2025,BS4636,00:00.0,30:00.0,3,3.25,0,30,88,J16W,18-71760-020             ,3.25,0,0
119978,1/27/2025,XH1437,10:00.0,00:11.0,3,6.25,40,10,88,J16W,F18-68687-006            ,5,3.33,53.28
119978,2/1/2025,BS4636,50:00.0,42:32.0,3,3.53,25,30,88,J16W,18-71760-020             ,3.25,1.35,38.24
119978,2/3/2025,BS4636,10:00.0,00:00.0,3,4.25,30,30,88,J16W,18-71760-020             ,3.25,1.63,38.35
119978,2/4/2025,XG3328,55:00.0,00:00.0,3,6.5,102,10,88,J16W,18-64537-002             ,4.4,7.48,115.08
119978,2/5/2025,BT1742,55:00.0,17:04.0,3,6.78,120,10,88,J16W,18-64537-006             ,5.38,10.76,158.7
119978,2/7/2025,XG3493,47:00.0,00:00.0,3,1.88,20,10,88,J16W,18-44668-004             ,5.5,1.83,97.34
119978,2/19/2025,XH6426,30:00.0,20:00.0,3,1.83,20,10,88,J16W,18-72771-012             ,5,1.67,91.26
120425,4/1/2024,XB9054,30:00.0,30:00.0,2,7.42,175,10,88,J16W,18-67273-100             ,1.2,3.5,47.17
125436,8/21/2025,BU7993,38:47.0,20:11.0,3,6.12,41,10,88,J16W,22-57164-010             ,5,3.42,55.88
125436,2/8/2024,XA5443,26:05.0,20:37.0,2,1.9,50,10,88,J16W,18-67273-203             ,5,4.17,219.47
125436,2/24/2024,X90841,36:54.0,27:42.0,2,5.52,100,10,88,J16W,18-64537-003             ,4.4,7.33,132.79
125436,2/26/2024,X90841,40:00.0,04:02.0,2,1.4,30,10,88,J16W,18-64537-003             ,4.4,2.2,157.14
125436,2/28/2024,XB2327,30:00.0,15:57.0,2,4.42,85,10,88,J16W,18-67273-100             ,5,7.08,160.18
125436,3/4/2024,XB2327,47:54.0,16:03.0,2,5.9,100,10,88,J16W,18-67273-100             ,5,8.33,141.19
125436,3/5/2024,XB2327,52:42.0,21:11.0,2,5.1,50,10,88,J16W,18-67273-100             ,5,4.17,81.76
125436,3/8/2024,XA1445,02:55.0,18:42.0,2,6.68,124,10,88,J16W,18-64537-003             ,4.4,9.09,136.08
125436,3/9/2024,XA1445,34:11.0,11:35.0,2,5.62,56,10,88,J16W,18-64537-003             ,4.4,4.11,73.13
125436,3/13/2024,BQ9267,40:00.0,16:15.0,2,7.02,250,210A,88,J16W,18-65989-001             ,1,4.17,59.4
125436,3/14/2024,BQ9267,40:00.0,18:09.0,2,7.05,320,210A,88,J16W,18-65989-001             ,1,5.33,75.6
125436,3/15/2024,BQ9267,10:41.0,15:08.0,2,3.75,125,210A,88,J16W,18-65989-001             ,1,2.08,55.47
125436,3/15/2024,XB2328,40:00.0,10:00.0,2,3.25,71,10,88,J16W,18-67273-101             ,5,5.92,182.15
125436,3/16/2024,BQ9267,37:31.0,13:57.0,2,5.6,135,210A,88,J16W,18-65989-001             ,1,2.25,40.18
125436,3/18/2024,BQ9267,44:10.0,25:20.0,2,4.27,165,210A,88,J16W,18-65989-001             ,1,2.75,64.4
125436,3/19/2024,XA6360,40:00.0,19:00.0,2,7.65,134,10,88,J16W,18-64537-003             ,4.4,9.83,128.5
125436,3/20/2024,XA6360,40:00.0,20:00.0,2,3.42,36,10,88,J16W,18-64537-003             ,4.4,2.64,77.19
125436,3/22/2024,BP9739,10:00.0,20:00.0,2,3.29,72,20,88,J16W,18-44737-001             ,2.59,3.11,94.53
125436,3/22/2024,XA1422,10:00.0,20:00.0,2,3.29,72,10,88,J16W,18-44737-002             ,0.5,0.6,18.24
125436,3/23/2024,BP9739,40:00.0,20:00.0,2,3.54,56,20,88,J16W,18-44737-001             ,2.59,2.42,68.36
125436,3/23/2024,XA1422,40:00.0,20:00.0,2,3.54,56,10,88,J16W,18-44737-002             ,0.5,0.47,13.28
125436,3/24/2024,XA6752,35:46.0,20:11.0,2,4.75,60,10,88,J16W,18-64537-003             ,4.4,4.4,92.63
125436,4/4/2024,BQ7901,06:30.0,30:00.0,2,5.4,0,25,88,J16W,12-28678-001             ,2,0,0
125436,4/6/2024,BQ2277,40:00.0,25:45.0,2,3.88,72,20,88,J16W,18-44737-001             ,2.59,3.11,80.15
125436,4/6/2024,XA2266,40:00.0,25:45.0,2,3.88,72,20,88,J16W,18-44737-002             ,2.59,3.11,80.15
125436,4/8/2024,BQ2277,40:00.0,20:00.0,2,1.83,60,20,88,J16W,18-44737-001             ,2.59,2.59,141.53
125436,4/8/2024,XA2266,40:00.0,20:00.0,2,1.83,60,20,88,J16W,18-44737-002             ,2.59,2.59,141.53
125436,7/31/2025,XK1150,36:08.0,20:28.0,3,6.15,120,10,88,J16W,18-64537-006             ,2,4,65.04
125436,8/1/2025,XK1150,16:30.0,24:03.0,3,2.88,60,10,88,J16W,18-64537-006             ,2,2,69.44
125436,5/19/2025,XJ5597,33:55.0,24:07.0,3,6.27,82,10,88,J16W,18-72771-010             ,5,6.83,108.93
125436,5/20/2025,XJ6496,40:00.0,20:00.0,3,7.08,368,30,88,J16W,18-74430-000             ,1,6.13,86.58
125436,5/21/2025,BU1574,34:29.0,08:36.0,3,1.57,33,25,88,J16W,12-28678-001             ,2,1.1,70.06
125436,5/27/2025,XK5538,53:53.0,12:11.0,3,0.32,4,10,88,J16W,18-67273-102             ,5,0.33,103.13
125436,5/27/2025,XK5539,33:52.0,47:07.0,3,0.23,4,10,88,J16W,18-67273-105             ,5,0.33,143.48
125436,5/29/2025,BU2922,33:37.0,09:39.0,3,0.6,29,25,88,J16W,15-13932-007             ,1.9,0.92,153.33
125436,6/2/2025,XJ5860,52:59.0,19:54.0,3,2.45,48,10,88,J16W,18-72771-010             ,5,4,163.27
125436,6/2/2025,XK0289,34:05.0,38:27.0,3,3.73,43,10,88,J16W,18-72771-012             ,5,3.58,95.98
125436,6/11/2025,XK5539,01:46.0,17:34.0,3,4.02,51,10,88,J16W,18-67273-105             ,5,4.25,105.72
125436,6/16/2025,XJ5452,59:00.0,20:00.0,3,3.02,60,10,88,J16W,18-64537-006             ,2,2,66.23
125436,6/23/2025,XK1729,00:52.0,00:00.0,3,2.75,0,10,88,J16W,18-72771-012             ,5,0,0
125436,7/24/2025,XL6802,03:34.0,37:35.0,3,0.57,10,10,88,J16W,18-67273-102             ,5,0.83,145.61
125436,7/24/2025,XL6803,59:44.0,02:11.0,3,0.05,2,10,88,J16W,18-67273-105             ,5,0.17,340
125436,7/24/2025,XL6804,17:56.0,08:59.0,3,0.72,15,10,88,J16W,18-67273-106             ,5,1.25,173.61
125436,7/24/2025,XL6805,53:06.0,03:47.0,3,0.17,5,10,88,J16W,18-67273-108             ,5,0.42,247.06
125436,7/24/2025,XL6806,37:45.0,51:00.0,3,0.23,5,10,88,J16W,18-67273-109             ,5,0.42,182.61
125436,7/24/2025,XL6807,20:14.0,56:43.0,3,0.35,5,10,88,J16W,18-67273-111             ,5,0.42,120
125436,7/24/2025,XL6808,02:54.0,20:14.0,3,0.3,6,10,88,J16W,18-67273-203             ,5,0.5,166.67
125436,8/20/2025,XM2371,06:37.0,16:32.0,3,2.92,21,10,88,J16W,18-67273-102             ,5,1.75,59.93
